name,author,familia,lifeform,habitus,plantUse,height,exposure,moisture,soil,hardiness,leafShape,leafDivision,leafArrangement,leafRetention,autumnColour,floweringPeriod,flowerColour,flowerShape,inflorescence,fruit,ordo,superordo,subclassis,classis,subdivisio,divisio,familia
Abronia_villosa,S.Watson,Nyctaginaceae,6,_NA,_NA,15 - 30 cm,1,1,_NA,_NA,_NA,1,2,1,_NA,,#d5b3e5,3,16,11,caryophyllales,caryophyllanae,caryophyllidae,rosopsida,magnoliophytina,magnoliophyta,Nyctaginaceae
Abrus_precatorius,L.,Fabaceae,4,_NA,1,N\/A - N\/A cm,_NA,_NA,_NA,_NA,_NA,4,2,1,_NA,,#eaaed4,_NA,_NA,6,fabales,fabanae,rosidae,rosopsida,magnoliophytina,magnoliophyta,Fabaceae
Abutilon_abutiloides,(Jacq.) Garcke ex Hochr.,Malvaceae,6,_NA,_NA,60 - 90 cm,_NA,_NA,_NA,_NA,3,1,2,1,_NA,,#ffd534,_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_auritum,(Wall. ex Link) Sweet,Malvaceae,2,_NA,_NA,N\/A - N\/A cm,_NA,_NA,_NA,_NA,_NA,1,2,_NA,_NA,""",""flowerColour"":""",""",""flowerShape"":""_NA",_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_berlandieri,A.Gray,Malvaceae,3,_NA,_NA,N\/A - N\/A cm,_NA,_NA,_NA,_NA,_NA,1,2,_NA,_NA,""",""flowerColour"":""",""",""flowerShape"":""_NA",_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_darwinii,Hook.f.,Malvaceae,3,_NA,2,1 - 2 m,1,23,2,8,24,1,2,1,_NA,,#ff6c2f,11,1,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_eremitopetalum,Caum,Malvaceae,3,_NA,_NA,N\/A - N\/A cm,_NA,_NA,_NA,_NA,_NA,1,2,_NA,_NA,""",""flowerColour"":""",""",""flowerShape"":""_NA",_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_fruticosum,Guill. & Perr.,Malvaceae,2,_NA,_NA,30 - 90 cm,1,1,_NA,_NA,3,1,2,1,_NA,,#ffc912,_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_glabriflorum,Hochr.,Malvaceae,3,_NA,_NA,N\/A - N\/A cm,_NA,_NA,_NA,_NA,_NA,1,2,_NA,_NA,""",""flowerColour"":""",""",""flowerShape"":""_NA",_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_grandifolium,(Willd.) Sweet,Malvaceae,3,_NA,_NA,N\/A - N\/A cm,_NA,_NA,_NA,_NA,_NA,1,2,_NA,_NA,,#f8e533,_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_hirtum,(Lam.) Sweet,Malvaceae,6,_NA,_NA,N\/A - N\/A cm,_NA,_NA,123,_NA,_NA,1,2,1,_NA,,#fddf75,_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_hulseanum,(Torr. & A.Gray) Torr. ex A.Gray,Malvaceae,6,_NA,_NA,N\/A - N\/A cm,_NA,_NA,_NA,_NA,_NA,1,2,1,_NA,""",""flowerColour"":""",""",""flowerShape"":""_NA",_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_hypoleucum,A.Gray,Malvaceae,2,_NA,_NA,1.5 - 1.8 m,2,1,23,_NA,_NA,1,2,_NA,_NA,,#ff6a11,_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_incanum,(Link) Sweet,Malvaceae,6,_NA,_NA,90 cm - 1.8 m,1,1,_NA,_NA,9,1,2,1,_NA,,#ffffff,_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_indicum,(L.) Sweet,Malvaceae,6,_NA,1,N\/A - N\/A cm,_NA,_NA,_NA,10,_NA,1,2,1,_NA,,#ffcd5f,_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
Abutilon_insigne,Planch.,Malvaceae,3,_NA,_NA,N\/A - N\/A cm,_NA,_NA,_NA,9,_NA,1,2,_NA,_NA,""",""flowerColour"":""",""",""flowerShape"":""_NA",_NA,_NA,16,malvales,malvanae,dilleniidae,rosopsida,magnoliophytina,magnoliophyta,Malvaceae
